row,name,mass,planetaryRadius,orbitalPeriod,discoveryYear
1171,Kepler-1073 b,,0.205,8.67888593,2016
1172,Kepler-1073 c,,0.146,4.02582254,2016
1173,Kepler-1074 b,,0.112,5.94566534,2016
1174,Kepler-1075 b,,0.127,1.52372816,2016
1175,Kepler-1076 b,,0.071,6.14727918,2016
1176,Kepler-1077 b,,0.247,34.3511874,2016
1177,Kepler-1078 b,,0.17,3.00725242,2016
1178,Kepler-1079 b,,0.145,13.24503188,2016
1179,Kepler-108 b,,0.8529,49.18354,2014
1180,Kepler-108 c,,0.734,190.323494,2014
1181,Kepler-1080 b,,0.293,77.2548396,2016
1182,Kepler-1081 b,,0.09,3.85691855,2016
1183,Kepler-1082 b,,0.1,1.5432066,2016
1184,Kepler-1083 b,,0.3,33.4177993,2016
1185,Kepler-1084 b,,0.099,2.05333679,2016
1186,Kepler-1085 b,,0.644,219.3217528,2016
1187,Kepler-1086 b,,0.218,18.78425728,2016
1188,Kepler-1086 c,,0.262,161.5163345,2016
1189,Kepler-1087 b,,0.054,0.69384285,2016
1190,Kepler-1088 b,,0.127,23.12748644,2016
1191,Kepler-1089 b,,0.163,5.13248562,2016
1192,Kepler-109 b,0.0041,0.2086,6.481637,2014
1193,Kepler-109 c,0.00698,0.235,21.22262,2014
1194,Kepler-1090 b,,0.201,198.680179,2016
1195,Kepler-1091 b,,0.13,1.43474156,2016
1196,Kepler-1092 b,,0.185,58.6017925,2016
1197,Kepler-1093 b,,0.174,25.0824626,2016
1198,Kepler-1093 c,,0.175,89.722292,2016
1199,Kepler-1094 b,,0.284,78.1000231,2016
1200,Kepler-1095 b,,0.108,4.27103091,2016
1201,Kepler-1096 b,,0.111,2.89221751,2016
1202,Kepler-1097 b,,0.291,187.747029,2016
1203,Kepler-1098 b,,0.116,2.54307286,2016
1204,Kepler-1099 b,,0.252,2.16845259,2016
1205,Kepler-11 b,0.005978039,0.160585531,10.30375,2011
1206,Kepler-11 c,0.009124375,0.256044707,13.02502,2011
1207,Kepler-11 d,0.022968253,0.278348253,22.68719,2011
1208,Kepler-11 e,0.03,0.374,31.9959,2011
1209,Kepler-11 f,0.006292672,0.222143317,46.68876,2011
1210,Kepler-11 g,0.95,0.3274,118.37774,2011
1211,Kepler-110 b,,0.163,12.691112,2014
1212,Kepler-110 c,,0.197,31.719775,2014
1213,Kepler-1100 b,,0.156,6.42200058,2016
1214,Kepler-1101 b,,0.22,81.3151059,2016
1215,Kepler-1102 b,,0.237,51.3285623,2016
1216,Kepler-1103 b,,0.203,19.79191978,2016
1217,Kepler-1104 b,,0.11,5.03728015,2016
1218,Kepler-1105 b,,0.179,4.42157218,2016
1219,Kepler-1106 b,,0.147,1.25275217,2016
1220,Kepler-1107 b,,0.12,0.57103852,2016
1221,Kepler-1108 b,,0.13,4.51005748,2016
1222,Kepler-1109 b,,0.195,37.6467384,2016
1223,Kepler-111 b,,0.141,3.341815,2014
1224,Kepler-111 c,,0.651,224.784608,2014
1225,Kepler-1110 b,,0.237,9.69312032,2016
1226,Kepler-1111 b,,0.178,8.79617863,2016
1227,Kepler-1112 b,,0.269,14.36267939,2016
1228,Kepler-1113 b,,0.251,42.3004954,2016
1229,Kepler-1114 b,,0.12,14.97435694,2016
1230,Kepler-1115 b,,0.152,23.5540725,2016
1231,Kepler-1116 b,,0.227,41.6977827,2016
1232,Kepler-1117 b,,0.099,4.79028459,2016
1233,Kepler-1118 b,,0.244,38.6715075,2016
1234,Kepler-1119 b,,0.171,8.3265153,2016
1235,Kepler-112 b,,0.211,8.408878,2014
1236,Kepler-112 c,,0.214,28.574263,2014
1237,Kepler-1120 b,,0.123,2.94902905,2016
1238,Kepler-1121 b,,0.17,13.15141081,2016
1239,Kepler-1122 b,,0.182,42.1917357,2016
1240,Kepler-1123 b,,0.149,4.33946454,2016
1241,Kepler-1124 b,,0.114,2.85234897,2016
1242,Kepler-1125 b,,0.164,17.6700642,2016
1243,Kepler-1126 b,,0.154,108.593329,2016
1244,Kepler-1127 b,,0.175,5.12330347,2016
1245,Kepler-1128 b,,0.326,61.6178167,2016
1246,Kepler-1129 b,,0.264,24.3397804,2016
1247,Kepler-1129 c,,0.244,76.5369586,2016
1248,Kepler-113 b,0.0368,0.162,4.754,2014
1249,Kepler-113 c,0.027,0.194,8.92507,2014
1250,Kepler-1130 b,,0.071,5.45298175,2016
1251,Kepler-1131 b,,0.142,3.53232449,2016
1252,Kepler-1132 b,,0.21,62.8916228,2016
1253,Kepler-1133 b,,0.176,11.55562343,2016
1254,Kepler-1134 b,,0.236,17.13263989,2016
1255,Kepler-1135 b,,0.165,76.957857,2016
1256,Kepler-1136 b,,0.146,2.36172433,2016
1257,Kepler-1137 b,,0.196,23.9210791,2016
1258,Kepler-1138 b,,0.152,3.17060005,2016
1259,Kepler-1139 b,,0.106,0.81316672,2016
1260,Kepler-114 b,0.022024353,0.105272737,5.188548,2013
1261,Kepler-114 c,0.125853444,0.143,8.041,2013
1262,Kepler-114 d,0.0151,0.226,11.776,2013
1263,Kepler-1140 b,,0.247,24.0862707,2016
1264,Kepler-1141 b,,0.073,2.34451194,2016
1265,Kepler-1142 b,,0.131,18.3027248,2016
1266,Kepler-1143 b,,0.149,2.88890485,2016
1267,Kepler-1143 c,,0.321,210.630591,2016
1268,Kepler-1144 b,,0.178,17.14647302,2016
1269,Kepler-1145 b,,0.125,3.97076766,2016
1270,Kepler-1146 b,,0.11,2.3522658,2016
1271,Kepler-1147 b,,0.233,10.62784997,2016
1272,Kepler-1148 b,,0.151,1.10446351,2016
1273,Kepler-1149 b,,0.128,3.73089898,2016
1274,Kepler-115 b,,0.097,2.403679,2014
1275,Kepler-115 c,,0.232,8.990889,2014
1276,Kepler-1150 b,,0.091,2.78786839,2016
1277,Kepler-1151 b,,0.198,65.6478424,2016
1278,Kepler-1152 b,,0.078,1.64680191,2016
1279,Kepler-1153 b,,0.154,1.75583533,2016
1280,Kepler-1154 b,,0.209,5.1856142,2016
1281,Kepler-1154 c,,0.211,8.45808312,2016
1282,Kepler-1155 b,,0.181,33.469743,2016
1283,Kepler-1156 b,,0.118,11.89520511,2016
1284,Kepler-1157 b,,0.097,4.45743164,2016
1285,Kepler-1158 b,,0.209,13.5396293,2016
1286,Kepler-1159 b,,0.211,22.70816791,2016
1287,Kepler-116 b,,0.305,5.968734,2014
1288,Kepler-116 c,,0.205,13.07163,2014
1289,Kepler-1160 b,,0.191,7.97034958,2016
1290,Kepler-1161 b,,0.19,10.71252541,2016
1291,Kepler-1162 b,,0.197,32.5637069,2016
1292,Kepler-1163 b,,0.092,6.11786898,2016
1293,Kepler-1164 b,,0.1,3.97599768,2016
1294,Kepler-1165 b,,0.138,9.478522,2016
1295,Kepler-1166 b,,0.151,33.2406882,2016
1296,Kepler-1167 b,,0.153,1.00393374,2016
1297,Kepler-1168 b,,0.223,55.8226539,2016
1298,Kepler-1169 b,,0.084,6.11009134,2016
1299,Kepler-117 b,,0.697,18.795952,2014
1300,Kepler-117 c,,1.008,50.790412,2014
1301,Kepler-1170 b,,0.215,9.98969327,2016
1302,Kepler-1171 b,,0.228,1.44259224,2016
1303,Kepler-1172 b,,0.285,26.0204423,2016
1304,Kepler-1173 b,,0.079,0.7698536,2016
1305,Kepler-1174 b,,0.142,6.89225223,2016
1306,Kepler-1175 b,,0.267,37.94563,2016
1307,Kepler-1176 b,,0.219,24.1738579,2016
1308,Kepler-1177 b,,0.17,106.247547,2016
1309,Kepler-1178 b,,0.095,31.80634,2016
1310,Kepler-1179 b,,0.118,2.68505749,2016
1311,Kepler-118 b,,0.175,7.518496,2014
1312,Kepler-118 c,,0.685,20.17202,2014
1313,Kepler-1180 b,,0.178,16.8601286,2016
1314,Kepler-1181 b,,0.14,4.89337519,2016
1315,Kepler-1182 b,,0.215,11.17394617,2016
1316,Kepler-1183 b,,0.252,28.5057189,2016
1317,Kepler-1184 b,,0.239,53.5991044,2016
1318,Kepler-1185 b,,0.119,104.3518976,2016
1319,Kepler-1186 b,,0.199,16.07677615,2016
1320,Kepler-1187 b,,0.233,18.87064068,2016
1321,Kepler-1188 b,,0.186,17.1369543,2016
1322,Kepler-1189 b,,0.158,3.78858982,2016
1323,Kepler-119 b,,0.321,2.422082,2014
1324,Kepler-119 c,,0.082,4.125103,2014
1325,Kepler-1190 b,,0.119,10.45843441,2016
1326,Kepler-1191 b,,0.135,5.60014851,2016
1327,Kepler-1192 b,,0.211,25.2034787,2016
1328,Kepler-1193 b,,0.118,2.83265213,2016
1329,Kepler-1194 b,,0.135,16.22371307,2016
1330,Kepler-1195 b,,0.186,8.49642241,2016
1331,Kepler-1196 b,,0.199,66.1849031,2016
1332,Kepler-1197 b,,0.112,2.03231845,2016
1333,Kepler-1198 b,,0.131,7.6847716,2016
1334,Kepler-1199 b,,0.103,15.0447198,2016
1335,Kepler-12 b,0.431,1.695,4.4379637,2011
1336,Kepler-120 b,,0.192,6.312501,2014
1337,Kepler-120 c,,0.136,12.794585,2014
1338,Kepler-1200 b,,0.095,1.11854972,2016
1339,Kepler-1201 b,,0.204,15.18725932,2016
1340,Kepler-1202 b,,0.262,28.6851324,2016
1341,Kepler-1203 b,,0.095,0.58800076,2016
1342,Kepler-1204 b,,0.272,85.7350285,2016
1343,Kepler-1205 b,,0.126,1.07839035,2016
1344,Kepler-1206 b,,0.146,1.21699766,2016
1345,Kepler-1207 b,,0.145,13.68237119,2016
1346,Kepler-1208 b,,0.207,11.08507637,2016
1347,Kepler-1209 b,,0.135,25.369116,2016
1348,Kepler-121 b,,0.209,3.177422,2014
1349,Kepler-121 c,,0.203,41.008011,2014
1350,Kepler-1210 b,,0.152,8.07124073,2016
1351,Kepler-1211 b,,0.227,11.01816836,2016
1352,Kepler-1212 b,,0.191,12.94130146,2016
1353,Kepler-1213 b,,0.106,5.34982412,2016
1354,Kepler-1214 b,,0.211,18.82634264,2016
1355,Kepler-1215 b,,0.109,4.76703963,2016
1356,Kepler-1216 b,,0.124,4.37034536,2016
1357,Kepler-1217 b,,0.178,2.03232507,2016
1358,Kepler-1218 b,,0.128,22.9221266,2016
1359,Kepler-1219 b,,0.189,16.10467749,2016
1360,Kepler-122 b,,0.209,5.766193,2014
1361,Kepler-122 c,,0.524,12.465988,2014
1362,Kepler-122 d,,0.196,21.587475,2014
1363,Kepler-122 e,,0.232,37.993273,2014
1364,Kepler-1220 b,,0.136,7.42693741,2016
1365,Kepler-1221 b,,0.168,12.00096042,2016
1366,Kepler-1222 b,,0.07,1.91694425,2016
1367,Kepler-1223 b,,0.109,16.301259,2016
1368,Kepler-1224 b,,0.119,13.32351601,2016
1369,Kepler-1225 b,,0.162,7.01075434,2016
1370,Kepler-1226 b,,0.129,17.2923453,2016
1371,Kepler-1227 b,,0.204,94.2887577,2016
1372,Kepler-1228 b,,0.137,0.57736958,2016
1373,Kepler-1229 b,,0.125,86.828989,2016
1374,Kepler-123 b,,0.262,17.232366,2014
1375,Kepler-123 c,,0.132,26.695074,2014
1376,Kepler-1230 b,,0.242,9.95661537,2016
1377,Kepler-1231 b,,0.127,10.41725184,2016
1378,Kepler-1232 b,,0.172,26.7839183,2016
1379,Kepler-1233 b,,0.232,45.1263042,2016
1380,Kepler-1234 b,,0.251,11.94014029,2016
1381,Kepler-1235 b,,0.07,4.16055856,2016
1382,Kepler-1236 b,,0.191,31.0571618,2016
1383,Kepler-1237 b,,0.255,84.5733226,2016
1384,Kepler-1238 b,,0.172,4.14787559,2016
1385,Kepler-1239 b,,0.259,5.19104016,2016
1386,Kepler-124 b,,0.065,3.410493,2014
1387,Kepler-124 c,,0.156,13.821375,2014
1388,Kepler-124 d,,0.099,30.950851,2014
1389,Kepler-1240 b,,0.103,4.8663815,2016
1390,Kepler-1241 b,,0.235,18.5525701,2016
1391,Kepler-1242 b,,0.202,13.62798432,2016
1392,Kepler-1243 b,,0.156,16.8320729,2016
1393,Kepler-1244 b,,0.12,3.70428172,2016
1394,Kepler-1245 b,,0.128,4.35409304,2016
1395,Kepler-1245 c,,0.128,2.93658468,2016
1396,Kepler-1246 b,,0.121,11.32271513,2016
1397,Kepler-1247 b,,0.208,13.71220213,2016
1398,Kepler-1248 b,,0.105,7.46725407,2016
1399,Kepler-1249 b,,0.212,24.3347127,2016
1400,Kepler-125 b,,0.211,4.164389,2014
1401,Kepler-125 c,,0.066,5.774464,2014
1402,Kepler-1250 b,,0.171,2.60754383,2016
1403,Kepler-1251 b,,0.164,45.0904643,2016
1404,Kepler-1252 b,,0.149,15.0540329,2016
1405,Kepler-1253 b,,0.119,68.8861915,2016
1406,Kepler-1254 b,,0.138,9.99113313,2016
1407,Kepler-1254 c,,0.116,3.60084276,2016
1408,Kepler-1254 d,,0.117,5.72717226,2016
1409,Kepler-1255 b,,0.207,36.2919336,2016
1410,Kepler-1256 b,,0.133,12.4127754,2016
1411,Kepler-1257 b,,0.136,2.66831376,2016
1412,Kepler-1258 b,,0.077,0.98494017,2016
1413,Kepler-1259 b,,0.128,0.66308526,2016
1414,Kepler-126 b,,0.1284,10.495634,2014
1415,Kepler-126 c,,0.1336,21.86964,2014
1416,Kepler-126 d,,0.2242,100.28208,2014
1417,Kepler-1260 b,,0.158,19.1187753,2016
1418,Kepler-1261 b,,0.202,48.4308991,2016
1419,Kepler-1262 b,,0.162,8.67900242,2016
1420,Kepler-1263 b,,0.102,4.55139967,2016
1421,Kepler-1264 b,,0.105,0.96852602,2016
1422,Kepler-1265 b,,0.12,6.49441289,2016
1423,Kepler-1266 b,,0.23,28.474748,2016
1424,Kepler-1267 b,,0.269,13.0313945,2016
1425,Kepler-1268 b,,0.181,40.9903986,2016
1426,Kepler-1269 b,,0.145,37.3331536,2016
1427,Kepler-127 b,,0.136,14.43577,2014
1428,Kepler-127 c,,0.2131,29.39344,2014
1429,Kepler-127 d,,0.238,48.62997,2014
1430,Kepler-1270 b,,0.296,6.03356196,2016
1431,Kepler-1271 b,,0.132,3.0255955,2016
1432,Kepler-1272 b,,0.211,51.1309704,2016
1433,Kepler-1273 b,,0.222,28.625653,2016
1434,Kepler-1274 b,,0.127,6.98152703,2016
1435,Kepler-1275 b,,0.132,3.65691115,2016
1436,Kepler-1276 b,,0.106,12.5720095,2016
1437,Kepler-1277 b,,0.143,40.8365012,2016
1438,Kepler-1278 b,,0.09,3.23941344,2016
1439,Kepler-1279 b,,0.156,23.4774101,2016
1440,Kepler-128 b,0.0941,0.101,15.09,2013
1441,Kepler-128 c,0.104,0.101,22.804,2013
1442,Kepler-1280 b,,0.167,66.5579057,2016
1443,Kepler-1281 b,,0.146,3.11602791,2016
1444,Kepler-1282 b,,0.138,2.13194651,2016
1445,Kepler-1283 b,,0.17,12.9460978,2016
1446,Kepler-1284 b,,0.108,0.66407381,2016
1447,Kepler-1285 b,,0.087,14.7967458,2016
1448,Kepler-1286 b,,0.192,11.25402929,2016
1449,Kepler-1287 b,,0.137,11.47685909,2016
1450,Kepler-1288 b,,0.1,2.76122421,2016
1451,Kepler-1289 b,,0.136,7.99019627,2016
1452,Kepler-129 b,,0.2149,15.791619,2014
1453,Kepler-129 c,,0.225,82.20017,2014
1454,Kepler-1290 b,,0.127,4.69500134,2016
1455,Kepler-1291 b,,0.148,8.63043276,2016
1456,Kepler-1292 b,,0.162,3.27646405,2016
1457,Kepler-1293 b,,0.087,5.57654784,2016
1458,Kepler-1294 b,,0.285,115.6862258,2016
1459,Kepler-1295 b,,0.138,3.81371974,2016
1460,Kepler-1296 b,,0.081,8.3839865,2016
1461,Kepler-1297 b,,0.087,1.68189002,2016
1462,Kepler-1298 b,,0.117,7.12811928,2016
1463,Kepler-1299 b,,0.266,19.9400874,2016
1464,Kepler-13 A b,6.6,1.406,1.7633587,2011
1465,Kepler-130 b,,0.08707,8.4572,2014
1466,Kepler-130 c,,0.2508,27.508686,2014
1467,Kepler-130 d,,0.117,87.5211,2014
1468,Kepler-1300 b,,0.122,22.2419092,2016
1469,Kepler-1301 b,,0.125,9.08237046,2016
1470,Kepler-1302 b,,0.128,8.83922659,2016
1471,Kepler-1303 b,,0.127,7.56127224,2016
1472,Kepler-1304 b,,0.204,16.1288853,2016
1473,Kepler-1305 b,,0.168,13.5630972,2016
1474,Kepler-1306 b,,0.17,16.29595382,2016
1475,Kepler-1307 b,,0.22,18.01621096,2016
1476,Kepler-1308 b,,0.046,2.10433812,2016
1477,Kepler-1309 b,,0.211,28.8432647,2016
1478,Kepler-131 b,0.05075,0.215,16.092,2014
1479,Kepler-131 c,0.026,0.075,25.516,2014
1480,Kepler-1310 b,,0.128,0.67933627,2016
1481,Kepler-1311 b,,0.111,11.1726994,2016
1482,Kepler-1311 c,,0.109,2.53573424,2016
1483,Kepler-1312 b,,0.187,5.44832529,2016
1484,Kepler-1313 b,,0.157,3.83309118,2016
1485,Kepler-1314 b,,0.456,5.42474928,2016
1486,Kepler-1315 b,,0.123,0.84338011,2016
1487,Kepler-1316 b,,0.316,87.9732136,2016
1488,Kepler-1317 b,,0.139,0.56887443,2016
1489,Kepler-1318 b,,0.277,213.257663,2016
1490,Kepler-1319 A b,,0.126,2.88676239,2016
1491,Kepler-132 b,,0.108,6.178196,2014
1492,Kepler-132 c,,0.114,6.414914,2014
1493,Kepler-132 d,,0.138,18.010199,2014
1494,Kepler-132 e,,0.105,110.2869374,2016
1495,Kepler-1320 b,,0.152,0.86838653,2016
1496,Kepler-1321 b,,0.439,11.12830484,2016
1497,Kepler-1321 c,,0.214,2.22649109,2016
1498,Kepler-1322 b,,0.144,0.96286738,2016
1499,Kepler-1323 b,,0.136,0.92990668,2016
1500,Kepler-1324 b,,0.135,4.11584468,2016
1501,Kepler-1325 b,,0.255,33.8786838,2016
1502,Kepler-1326 b,,0.373,42.3514267,2016
1503,Kepler-1327 b,,0.161,14.88801098,2016
1504,Kepler-1328 b,,0.087,4.52158888,2016
1505,Kepler-1329 b,,0.194,9.33646594,2016
1506,Kepler-133 b,,0.157,8.129976,2014
1507,Kepler-133 c,,0.253,31.517586,2014
1508,Kepler-1330 b,,0.147,10.10769068,2016
1509,Kepler-1331 b,,0.094,0.78916165,2016
1510,Kepler-1332 b,,0.122,11.87456832,2016
1511,Kepler-1333 b,,0.251,109.6471842,2016
1512,Kepler-1334 b,,0.204,15.64591713,2016
1513,Kepler-1335 b,,0.129,6.26406846,2016
1514,Kepler-1336 b,,0.177,23.198681,2016
1515,Kepler-1336 c,,0.153,5.77721211,2016
1516,Kepler-1337 b,,0.215,24.4002549,2016
1517,Kepler-1338 b,,0.082,0.93511806,2016
1518,Kepler-1339 b,,0.063,1.34155513,2016
1519,Kepler-134 b,,0.178,5.317429,2014
1520,Kepler-134 c,,0.112,10.105785,2014
1521,Kepler-1340 b,,0.138,0.66502692,2016
1522,Kepler-1341 b,,0.267,132.9968322,2016
1523,Kepler-1342 b,,0.148,2.21571036,2016
1524,Kepler-1343 b,,0.172,3.35183158,2016
1525,Kepler-1344 b,,0.164,4.7683049,2016
1526,Kepler-1345 b,,0.211,44.6169557,2016
1527,Kepler-1346 b,,0.141,3.40165668,2016
1528,Kepler-1347 b,,0.092,14.00947528,2016
1529,Kepler-1348 b,,0.173,27.5722742,2016
1530,Kepler-1349 b,,0.062,2.12823928,2016
1531,Kepler-135 b,,0.161,6.00253,2014
1532,Kepler-135 c,,0.103,11.448708,2014
1533,Kepler-1350 b,,0.225,4.4968604,2016
1534,Kepler-1350 c,,0.154,1.76678906,2016
1535,Kepler-1351 b,,0.058,0.91614077,2016
1536,Kepler-1352 b,,0.079,1.87788275,2016
1537,Kepler-1353 b,,0.161,24.7543966,2016
1538,Kepler-1354 b,,0.265,76.613377,2016
1539,Kepler-1355 b,,0.13,1.28958811,2016
1540,Kepler-1356 b,,0.136,0.63400294,2016
1541,Kepler-1357 b,,0.114,3.0091324,2016
1542,Kepler-1358 b,,0.1,7.06317341,2016
1543,Kepler-1359 b,,0.252,59.4970952,2016
1544,Kepler-136 b,,0.183,11.5789,2014
1545,Kepler-136 c,,0.178,16.399235,2014
1546,Kepler-1360 b,,0.303,40.5286413,2016
1547,Kepler-1361 b,,0.077,3.57554956,2016
1548,Kepler-1362 b,,0.232,136.205626,2016
1549,Kepler-1363 b,,0.112,2.94194094,2016
1550,Kepler-1364 b,,0.192,13.32196237,2016
1551,Kepler-1365 b,,0.082,7.69993485,2016
1552,Kepler-1365 c,,0.071,4.77468005,2016
1553,Kepler-1366 b,,0.128,2.16457097,2016
1554,Kepler-1367 b,,0.082,1.57409027,2016
1555,Kepler-1368 b,,0.147,0.67564949,2016
1556,Kepler-1369 b,,0.24,25.873148,2016
1557,Kepler-137 b,,0.131,8.436387,2014
1558,Kepler-137 c,,0.168,18.735753,2014
1559,Kepler-1370 b,,0.164,20.2641684,2016
1560,Kepler-1370 c,,0.113,7.44142113,2016
1561,Kepler-1371 b,,0.065,3.4462039,2016
1562,Kepler-1371 c,,0.057,2.00541269,2016
1563,Kepler-1372 b,,0.113,1.31155557,2016
1564,Kepler-1373 b,,0.103,1.29123275,2016
1565,Kepler-1374 b,,0.204,10.65276707,2016
1566,Kepler-1375 b,,0.155,3.3004192,2016
1567,Kepler-1376 b,,0.094,5.30880656,2016
1568,Kepler-1377 b,,0.112,0.74092842,2016
1569,Kepler-1378 b,,0.196,11.95398936,2016
1570,Kepler-1379 b,,0.116,0.88184115,2016
1571,Kepler-138 b,0.00021,0.052,10.31320643,2014
1572,Kepler-138 c,0.00318,0.144,13.78164,2014
1573,Kepler-138 d,0.003177799,0.143634836,23.08933,2014
1574,Kepler-1380 b,,0.128,10.3108245,2016
1575,Kepler-1381 b,,0.201,25.3842686,2016
1576,Kepler-1382 b,,0.168,16.3583055,2016
1577,Kepler-1383 b,,0.126,13.9093583,2016
1578,Kepler-1384 b,,0.173,15.36262753,2016
1579,Kepler-1385 b,,0.076,2.88879862,2016
1580,Kepler-1386 b,,0.111,6.73972381,2016
1581,Kepler-1387 b,,0.083,2.27952666,2016
1582,Kepler-1388 b,,0.231,12.2854603,2016
1583,Kepler-1388 c,,0.202,5.53608151,2016
1584,Kepler-1388 d,,0.255,20.9568158,2016
1585,Kepler-1388 e,,0.219,37.6327084,2016
1586,Kepler-1389 b,,0.158,99.2530951,2016
1587,Kepler-139 b,,0.262,15.771044,2014
1588,Kepler-139 c,,0.302,157.072878,2014
1589,Kepler-1390 b,,0.105,6.48021673,2016
1590,Kepler-1391 b,,0.15,54.4092333,2016
1591,Kepler-1392 b,,0.175,15.1410397,2016
1592,Kepler-1393 b,,0.071,2.44357812,2016
1593,Kepler-1394 b,,0.124,3.93766373,2016
1594,Kepler-1395 b,,0.071,3.78470649,2016
1595,Kepler-1396 b,,0.185,18.2206421,2016
1596,Kepler-1397 b,,0.153,47.449955,2016
1597,Kepler-1398 b,,0.08,2.78815679,2016
1598,Kepler-1398 c,,0.092,4.13827595,2016
1599,Kepler-1399 b,,0.112,1.63865306,2016
1600,Kepler-14 b,8.4,1.136,6.790123,2011
1601,Kepler-140 b,,0.144,3.25427,2014
1602,Kepler-140 c,,0.161,91.353282,2014
1603,Kepler-1400 b,,0.145,9.06689421,2016
1604,Kepler-1401 b,,0.15,11.20066445,2016
1605,Kepler-1402 b,,0.068,2.03387914,2016
1606,Kepler-1403 b,,0.191,5.19492202,2016
1607,Kepler-1404 b,,0.179,15.9314739,2016
1608,Kepler-1405 b,,0.353,28.2274184,2016
1609,Kepler-1406 b,,0.098,11.62905828,2016
1610,Kepler-1407 b,,0.201,20.0711504,2016
1611,Kepler-1408 b,,0.079,2.99793191,2016
1612,Kepler-1409 b,,0.093,0.76486493,2016
1613,Kepler-141 b,,0.062,3.107675,2014
1614,Kepler-141 c,,0.126,7.010606,2014
1615,Kepler-1410 b,,0.159,60.866168,2016
1616,Kepler-1411 b,,0.252,86.1150888,2016
1617,Kepler-1412 b,,0.074,3.6146051,2016
1618,Kepler-1413 b,,0.162,13.1829642,2016
1619,Kepler-1414 b,,0.11,3.51576315,2016
1620,Kepler-1415 b,,0.115,0.63642408,2016
1621,Kepler-1416 b,,0.079,1.49514952,2016
1622,Kepler-1417 b,,0.089,20.3505213,2016
1623,Kepler-1418 b,,0.148,22.4764425,2016
1624,Kepler-1419 b,,0.255,42.5215895,2016
1625,Kepler-142 b,,0.178,2.024152,2014
1626,Kepler-142 c,,0.255,4.761702,2014
1627,Kepler-142 d,,0.193,41.809118,2014
1628,Kepler-1420 b,,0.114,6.69960006,2016
1629,Kepler-1421 b,,0.083,6.9131112,2016
1630,Kepler-1422 b,,0.18,18.6051942,2016
1631,Kepler-1423 b,,0.095,23.955378,2016
1632,Kepler-1424 b,,0.103,29.6091744,2016
1633,Kepler-1425 b,,0.084,14.4541302,2016
1634,Kepler-1426 b,,0.139,14.2563227,2016
1635,Kepler-1427 b,,0.098,0.96897238,2016
1636,Kepler-1428 b,,0.146,10.67607169,2016
1637,Kepler-1429 b,,0.115,4.48487493,2016
1638,Kepler-143 b,,0.215,16.007583,2014
1639,Kepler-143 c,,0.301,27.082511,2014
1640,Kepler-1430 b,,0.105,2.46050993,2016
1641,Kepler-1431 b,,0.131,5.86601526,2016
1642,Kepler-1432 b,,0.198,23.9109011,2016
1643,Kepler-1433 b,,0.139,4.13592271,2016
1644,Kepler-1434 b,,0.099,8.05333618,2016
1645,Kepler-1435 b,,0.077,4.45343281,2016
1646,Kepler-1436 b,,0.117,9.705716,2016
1647,Kepler-1437 b,,0.122,10.9295461,2016
1648,Kepler-1438 b,,0.084,2.31942009,2016
1649,Kepler-1439 b,,0.13,8.07392849,2016
1650,Kepler-144 b,,0.119,5.885273,2014
1651,Kepler-144 c,,0.12,10.104665,2014
1652,Kepler-1440 b,,0.112,39.859484,2016
1653,Kepler-1441 b,,0.117,39.4419839,2016
1654,Kepler-1442 b,,0.351,81.4162941,2016
1655,Kepler-1443 b,,0.087,2.41811321,2016
1656,Kepler-1444 b,,0.194,33.42035034,2016
1657,Kepler-1445 b,,0.086,10.60052251,2016
1658,Kepler-1446 b,,0.073,0.68996783,2016
1659,Kepler-1447 b,,0.259,56.6747285,2016
1660,Kepler-1448 b,,0.144,12.27065865,2016
1661,Kepler-1449 b,,0.15,13.2274528,2016
1662,Kepler-145 b,0.108,0.228,22.95102,2013
1663,Kepler-145 c,0.234,0.35,42.88254,2013
1664,Kepler-1450 b,,0.153,54.5094166,2016
1665,Kepler-1451 b,,0.299,35.622233,2016
1666,Kepler-1452 b,,0.241,42.913751,2016
1667,Kepler-1453 b,,0.238,47.1611696,2016
1668,Kepler-1454 b,,0.168,47.0319479,2016
1669,Kepler-1455 b,,0.193,49.276764,2016
1670,Kepler-1456 b,,0.102,18.1373829,2016
1671,Kepler-1457 b,,0.178,51.1110243,2016
1672,Kepler-1458 b,,0.246,47.9872764,2016
1673,Kepler-1459 b,,0.121,62.8691611,2016
1674,Kepler-146 b,,0.331,31.158799,2014
1675,Kepler-146 c,,0.279,76.732171,2014
1676,Kepler-1460 b,,0.175,29.9633247,2016
1677,Kepler-1461 b,,0.181,29.3494775,2016
1678,Kepler-1462 b,,0.341,65.6488341,2016
1679,Kepler-1463 b,,0.166,25.15864,2016
1680,Kepler-1464 b,,0.148,31.7785901,2016
1681,Kepler-1464 c,,0.089,5.32786292,2016
1682,Kepler-1465 b,,0.158,31.8277111,2016
1683,Kepler-1466 b,,0.138,31.1750448,2016
1684,Kepler-1467 b,,0.294,47.0569043,2016
1685,Kepler-1468 b,,0.154,8.23984869,2016
1686,Kepler-1468 c,,0.103,3.54553021,2016
1687,Kepler-1469 b,,0.25,21.8635301,2016
1688,Kepler-147 b,,0.136,12.610584,2014
1689,Kepler-147 c,,0.217,33.416423,2014
1690,Kepler-1470 b,,0.095,16.2950903,2016
1691,Kepler-1471 b,,0.126,3.63899398,2016
