row,name,mass,planetaryRadius,orbitalPeriod,discoveryYear
229,GJ 676 A b,6.7,,1052.1,2009
230,GJ 676 A c,6.8,,7337,2012
231,GJ 676 A d,0.014,,3.6,2012
232,GJ 676 A e,0.036,,35.37,2012
233,GJ 682 b,0.013843879,,17.478,2014
234,GJ 682 c,0.027365121,,57.32,2014
235,GJ 687 b,0.058,,38.14,2014
236,GJ 758 b,45,,109000,2009
237,GJ 785 b,0.0532,,74.72,2010
238,GJ 785 c,0.076,,525.8,2011
239,GJ 832 b,0.689047604,,3416,2008
240,GJ 832 c,0.01573168,,35.67,2014
241,GJ 849 b,0.9,,1914,2006
242,GJ 849 c,0.77,,7049,2013
243,GJ 86 A b,4.01,,15.766,2000
244,GJ 876 b,1.938,,61.03,2000
245,GJ 876 c,0.856,,30.23,2000
246,GJ 876 d,0.022,,1.94,2005
247,GJ 876 e,0.045,,124.69,2010
248,GJ 9827 b,0.0258,0.146,1.2089819,2017
249,GJ 9827 c,0.0079,0.115,3.648086,2017
250,GJ 9827 d,0.012,0.186,6.201472,2017
251,GP Com b,26.2,,0.032,2016
252,GQ Lup b,21.5,1.8,,2005
253,GSC 6214-210 b,17,,,2010
254,GU Psc b,11,1.35,,2014
255,HAT-36 b,2.79,1.263,4.1752379,2017
256,HAT-P-1 b,0.525,1.319,4.46529976,2006
257,HAT-P-11 b,0.082434006,0.421983089,4.887802443,2009
258,HAT-P-12 b,0.210489885,0.954591765,3.2130598,2009
259,HAT-P-13 b,0.85,1.28,2.916243,2009
260,HAT-P-13 c,14.28,,446.27,2009
261,HAT-P-14 b,2.2,1.2,4.627657,2010
262,HAT-P-15 b,1.946,1.072,10.863502,2010
263,HAT-P-16 b,4.193,1.289,2.77596,2010
264,HAT-P-17 b,0.534,1.01,10.338523,2010
265,HAT-P-17 c,1.4,,1798,2010
266,HAT-P-18 b,0.183,0.947,5.508029,2010
267,HAT-P-19 b,0.292,1.132,4.008784,2010
268,HAT-P-2 b,8.74,0.951,5.6334729,2007
269,HAT-P-20 b,7.246,0.867,2.875317,2010
